N;M;seed;LP_median_objval;LP_median_CPU;INT_median_objval;INT_median_nodes;INT_median_CPU;median_ranking;LP_gap_median;LP_mean_objval;LP_mean_CPU;INT_mean_objval;INT_mean_nodes;INT_mean_CPU;mean_ranking;LP_gap_mean;rowgen_objval;rowgen_nodes;rowgen_iterations;rowgen_constrs;rowgen_CPU;actual_error;approx_error;ratio_error;theta_median;theta_mean;weighted_Kendall;normal_Kendall
15;10;1;124.0;0.008774518966674805;124.0;1;0.00782155990600586;[2, 1, 13, 9, 14, 3, 5, 8, 7, 11, 12, 15, 6, 10, 4];0.0;-65.01519274376417;0.25031399726867676;-65.03333333333329;1;0.3772313594818115;[1, 13, 9, 14, 2, 5, 8, 7, 11, 12, 6, 10, 15, 3, 4];-0.00027894294570651734;-65.03333333333333;1;4;28;0.15848493576049805;0.00795167826286447;0.304688995215311;0.026097687765996767;39800.0;38654.0;131.5;0.11741071428571428
15;10;2;164.0;0.009134292602539062;164.0;1;0.008063793182373047;[7, 3, 4, 5, 2, 6, 8, 15, 11, 14, 13, 10, 12, 9, 1];0.0;-40.25555555555549;0.24222970008850098;-40.30000000000001;1;0.9528961181640625;[7, 3, 2, 4, 6, 8, 11, 5, 15, 14, 13, 10, 1, 12, 9];-0.0011028398125191297;-40.29999999999997;1;6;34;0.816521406173706;0.001321862973978516;0.31145311960252536;0.004244179591668466;42376.0;42252.0;72.5;0.06473214285714286
15;10;3;140.0;0.009110689163208008;140.0;1;0.007927417755126953;[7, 12, 15, 8, 13, 2, 5, 1, 11, 3, 9, 4, 10, 14, 6];0.0;-72.70374409305704;0.2603466510772705;-73.15714285714284;1;6.620522737503052;[7, 8, 12, 5, 13, 1, 3, 11, 4, 10, 15, 9, 2, 14, 6];-0.006197600758837352;-73.15714285714283;3;8;47;6.842376708984375;0.00300634083860174;0.3203071438365556;0.009385806393802435;44384.0;42845.99999999981;198.5;0.17723214285714287
15;10;4;100.0;0.00885629653930664;100.0;1;0.008206844329833984;[6, 1, 14, 12, 8, 15, 9, 7, 11, 13, 10, 5, 3, 4, 2];0.0;-104.45714285714281;0.2447676658630371;-104.45714285714281;1;0.2781193256378174;[6, 1, 8, 14, 12, 15, 11, 9, 13, 4, 10, 5, 7, 2, 3];0.0;-104.4571428571428;1;3;18;0.030432701110839844;0.004061391133341918;0.314066985645933;0.012931607965698675;42666.0;41450.0;87.5;0.078125
15;10;5;114.0;0.009142398834228516;114.0;1;0.011757135391235352;[7, 1, 6, 12, 11, 10, 3, 5, 2, 14, 9, 15, 4, 13, 8];0.0;-78.49999999999994;0.2508881092071533;-78.49999999999994;1;0.28891801834106445;[1, 7, 6, 12, 10, 11, 5, 2, 14, 9, 15, 3, 4, 8, 13];0.0;-78.49999999999996;1;4;29;0.05940508842468262;0.002953792691534951;0.30380879442519276;0.009722538470696797;40066.0;39794.0;68.0;0.060714285714285714
15;10;6;110.0;0.009025335311889648;110.0;1;0.008532524108886719;[10, 13, 8, 12, 6, 14, 7, 2, 9, 1, 15, 5, 4, 11, 3];0.0;-111.39523809523804;0.24370718002319336;-111.44761904761813;1;0.8407871723175049;[10, 13, 8, 12, 6, 14, 7, 2, 9, 1, 5, 15, 4, 11, 3];-0.00047000512732098265;-111.44761904761887;1;6;32;0.2804112434387207;0.0009804330593680133;0.3240603520063231;0.0030254644028433414;45920.0;45826.00000000003;5.0;0.004464285714285714
15;10;7;152.0;0.008960247039794922;152.0;1;0.008161067962646484;[14, 9, 10, 1, 7, 5, 2, 3, 12, 4, 8, 13, 15, 6, 11];0.0;-48.71071428571423;0.2544279098510742;-48.75238095238092;1;1.8498868942260742;[9, 14, 1, 10, 7, 2, 5, 3, 4, 8, 12, 6, 13, 15, 11];-0.0008546591131084469;-48.75238095238093;3;6;32;1.5405805110931396;0.002288721096874946;0.3090494319107648;0.007405679676304318;41726.0;41512.0;59.0;0.05267857142857143
15;10;8;76.0;0.008927106857299805;76.0;1;0.007964849472045898;[12, 6, 2, 1, 9, 15, 8, 5, 4, 14, 11, 10, 13, 7, 3];0.0;-107.25978835978835;0.2597787380218506;-107.73809523809521;1;10.196633338928223;[14, 12, 1, 9, 6, 2, 15, 5, 4, 8, 11, 10, 13, 7, 3];-0.004439533456107925;-107.73809523809521;5;8;49;7.451636075973511;0.005123392038867136;0.2990158322635858;0.017134183163755718;38434.0;37134.0;185.5;0.165625
15;10;9;122.0;0.008654356002807617;122.0;1;0.007970094680786133;[6, 9, 4, 1, 2, 12, 13, 10, 14, 5, 3, 8, 15, 7, 11];0.0;-60.50643500643494;0.24735260009765625;-60.80952380952377;1;2.9018852710723877;[6, 9, 4, 1, 2, 12, 11, 13, 10, 3, 14, 5, 8, 15, 7];-0.0049842324705288155;-60.80952380952381;1;7;45;4.164664030075073;0.0017148510497966285;0.2946156714099298;0.005820637583839102;37930.0;37356.0;70.5;0.06294642857142857
15;10;10;154.0;0.008319854736328125;154.0;1;0.007817506790161133;[12, 6, 4, 9, 3, 1, 2, 7, 14, 5, 13, 11, 10, 8, 15];0.0;-58.08571428571425;0.24314212799072266;-58.19047619047612;1;0.7927761077880859;[12, 4, 6, 9, 3, 1, 14, 13, 2, 11, 7, 5, 10, 8, 15];-0.001800327332241558;-58.19047619047611;1;5;37;1.0604822635650635;0.003372681281618939;0.31861416959704847;0.01058547171924077;44216.0;43478.0;68.0;0.060714285714285714
15;20;11;96.0;0.008616447448730469;96.0;1;0.007984161376953125;[12, 14, 9, 3, 13, 4, 15, 6, 11, 10, 2, 5, 8, 1, 7];0.0;-260.8502645502645;0.4696962833404541;-260.95714285714286;1;1.2404253482818604;[12, 14, 9, 3, 13, 4, 15, 6, 11, 10, 2, 5, 8, 1, 7];-0.00040956268032432686;-260.9571428571428;1;3;38;0.13158345222473145;0.0;0.29041290093921673;0.0;73746.0;73746.0;0.0;0.0
15;20;12;78.0;0.00912165641784668;78.0;1;0.007998943328857422;[15, 13, 10, 2, 7, 11, 9, 12, 3, 14, 4, 6, 8, 5, 1];0.0;-266.9975108225108;0.5097920894622803;-267.4666666666666;1;4.190818548202515;[13, 10, 9, 15, 12, 2, 7, 3, 11, 14, 4, 5, 6, 8, 1];-0.0017540721989872665;-267.46666666666664;1;4;51;3.031791925430298;0.0012404709278722725;0.28779703268867357;0.004310228344898054;71578.0;70522.0;129.0;0.11517857142857142
15;20;13;152.0;0.008624792098999023;152.0;1;0.007995128631591797;[8, 10, 11, 7, 1, 9, 6, 15, 12, 14, 5, 4, 3, 13, 2];0.0;-206.30785296574766;0.48020434379577637;-207.26666666666665;1;8.157479286193848;[8, 10, 9, 11, 6, 15, 12, 7, 5, 14, 3, 1, 13, 4, 2];-0.00462599083749915;-207.26666666666665;3;6;77;9.167649507522583;0.0034927849362454966;0.29601803155522166;0.011799230330311562;74860.0;72982.0;142.0;0.12678571428571428
15;20;14;118.0;0.008685827255249023;118.0;1;0.00799417495727539;[13, 15, 4, 9, 10, 7, 11, 8, 3, 14, 5, 6, 12, 2, 1];0.0;-244.13354037267078;0.4841601848602295;-244.24761904761903;1;1.7648322582244873;[13, 4, 15, 9, 10, 7, 11, 8, 3, 14, 5, 6, 12, 2, 1];-0.0004670615639696951;-244.247619047619;1;5;51;1.5958211421966553;0.0004862738163653457;0.29292929292929293;0.0016600382006954906;74936.0;74848.0;14.0;0.0125
15;20;15;136.0;0.008595466613769531;136.0;1;0.007912874221801758;[10, 9, 2, 14, 7, 6, 8, 12, 11, 15, 13, 4, 3, 1, 5];0.0;-208.00863698734557;0.49634528160095215;-208.5666666666666;1;8.752649545669556;[2, 9, 14, 6, 1, 7, 10, 8, 12, 4, 5, 11, 15, 13, 3];-0.002675545849389671;-208.56666666666663;3;7;88;10.24325942993164;0.008086572567684192;0.29216783835879934;0.027677832759105413;72604.0;70334.0;217.5;0.19419642857142858
15;20;16;178.0;0.008754253387451172;178.0;1;0.008040904998779297;[10, 1, 13, 7, 12, 2, 6, 14, 9, 11, 8, 5, 4, 3, 15];0.0;-175.49563567362415;0.4975574016571045;-175.79523809523806;1;3.4248437881469727;[10, 1, 7, 13, 12, 2, 6, 9, 11, 8, 5, 4, 3, 14, 15];-0.0017042692672459836;-175.79523809523806;3;4;56;2.6350224018096924;0.0011831452507986562;0.29254043441304756;0.0040443819438927;73308.0;71426.0;53.5;0.04776785714285714
15;20;17;230.0;0.008669853210449219;230.0;1;0.008109569549560547;[14, 3, 6, 2, 9, 4, 13, 11, 10, 1, 15, 7, 5, 12, 8];0.0;-142.82219902574806;0.4779975414276123;-143.04761904761926;1;6.714381217956543;[2, 14, 3, 6, 9, 4, 11, 13, 10, 1, 7, 15, 5, 12, 8];-0.0015758390343858508;-143.04761904761898;1;7;80;6.210660934448242;0.0023783307641488394;0.2996575739539773;0.007936828469799043;77534.0;76684.0;57.5;0.05133928571428571
15;20;18;264.0;0.00873708724975586;264.0;1;0.007933616638183594;[10, 4, 9, 15, 1, 12, 7, 8, 11, 3, 5, 6, 2, 13, 14];0.0;-135.0190476190475;0.48155689239501953;-135.11428571428638;1;1.8191633224487305;[10, 4, 9, 1, 12, 15, 7, 8, 11, 3, 5, 6, 2, 13, 14];-0.0007048706562402529;-135.1142857142857;1;4;51;0.5674831867218018;0.0004324651595239981;0.3088142942583732;0.0014004052518442392;82614.0;82534.00000000041;23.5;0.020982142857142855
15;20;19;188.0;0.008515119552612305;188.0;1;0.007853507995605469;[5, 14, 9, 8, 1, 7, 12, 13, 4, 11, 10, 2, 6, 3, 15];0.0;-185.65015873015867;0.4845266342163086;-186.99523809523805;1;6.776996612548828;[5, 14, 9, 1, 12, 4, 11, 10, 8, 13, 2, 6, 3, 7, 15];-0.007193120952065812;-186.99523809523805;3;5;66;6.102834463119507;0.004948834549464376;0.30230289664532;0.01637045031450905;78408.0;77090.0;148.5;0.13258928571428572
